Date,Close
9/1/2020,117.66
9/2/2020,121.16
9/3/2020,119.08
9/4/2020,119.08
9/8/2020,114.06
9/9/2020,116.35
9/10/2020,116.04
9/11/2020,119.79
9/14/2020,121.81
9/15/2020,128.02
9/16/2020,128.33
9/17/2020,128.69
9/18/2020,125.48
9/21/2020,121.2
9/22/2020,122.01
9/23/2020,118.71
9/24/2020,117.36
9/25/2020,119.3
9/28/2020,123.01
9/29/2020,124.59
9/30/2020,127.84
10/1/2020,124.65
10/2/2020,124.33
10/5/2020,128.22
10/6/2020,126.34
10/7/2020,129.56
10/8/2020,132.06
10/9/2020,130.5
10/12/2020,129.31
10/13/2020,129.44
10/14/2020,131.18
10/15/2020,132.86
10/16/2020,134.02
10/19/2020,133.74
10/20/2020,134.34
10/21/2020,142.56
10/22/2020,140.87
10/23/2020,141.74
10/26/2020,139.25
10/27/2020,138.15
10/28/2020,135.15
10/29/2020,139.81
10/30/2020,138.39
11/2/2020,141.7
11/3/2020,145.21
11/4/2020,143.38
11/5/2020,147.04
11/6/2020,148.26
11/9/2020,152.35
11/10/2020,150.7
11/11/2020,151.78
11/12/2020,147.62
11/13/2020,149.58
11/16/2020,152.6
11/17/2020,149.44
11/18/2020,147.43
11/19/2020,147.03
11/20/2020,147.5
11/23/2020,147.48
11/24/2020,153.06
11/25/2020,151.56
11/27/2020,150.3
11/30/2020,149.34
12/1/2020,151.75
12/2/2020,150.84
12/3/2020,149.87
12/4/2020,154.04
12/7/2020,154.18
12/8/2020,155.31
12/9/2020,153.9
12/10/2020,150.8
12/11/2020,150.01
12/14/2020,148.77
12/15/2020,150.98
12/16/2020,150.65
12/17/2020,152.23
12/18/2020,152.96
12/21/2020,152.08
12/22/2020,151.76
12/23/2020,152.71
12/24/2020,153.4
12/28/2020,153.94
12/29/2020,152.22
12/30/2020,154.19
12/31/2020,155.11
1/4/2021,151.9
1/5/2021,152.23
1/6/2021,158.05
1/7/2021,162.98
1/8/2021,156.75
1/11/2021,161.34
1/12/2021,163.43
1/13/2021,162.93
1/14/2021,161.78
1/15/2021,159.33
1/19/2021,159.77
1/20/2021,159.38
1/21/2021,159.77
1/22/2021,156.68
1/25/2021,155.93
1/26/2021,155.37
1/27/2021,148.67
